anio,indice_inpc,fuente,nota
2019,103.900667,"INEGI, INPC serie 865586, índice general, base 2a quincena de julio 2018 = 100","Promedio aritmético de los 12 índices mensuales oficiales de 2019 (INEGI no publica un campo rotulado 'promedio anual'). Diciembre 2019 = 105.934."
2020,107.430000,"INEGI, INPC serie 865586, índice general, base 2a quincena de julio 2018 = 100","Promedio de los 12 meses de 2020. Diciembre 2020 = 109.271."
2021,113.541917,"INEGI, INPC serie 865586, índice general, base 2a quincena de julio 2018 = 100","Promedio de los 12 meses de 2021. Diciembre 2021 = 117.308."
2022,122.507500,"INEGI, INPC serie 865586, índice general, base 2a quincena de julio 2018 = 100","Promedio de los 12 meses de 2022. Diciembre 2022 = 126.478."
2023,129.279667,"INEGI, INPC serie 865586, índice general, base 2a quincena de julio 2018 = 100","Promedio de los 12 meses de 2023. Diciembre 2023 = 132.373."
2024,135.384583,"INEGI, INPC serie 865586, índice general, base 2a quincena de julio 2018 = 100","Año base del proyecto: los valores reales se expresan en pesos de 2024. Diciembre 2024 = 137.949; INEGI reporta inflación anual de 4.21 % ese mes."
